 ,Label,Area,Circ.,AR,Round,Solidity
147,sample1_thresholded.tif,226.460,0.841,1.301,0.768,0.931
148,sample1_thresholded.tif,193.505,0.814,1.437,0.696,0.930
149,sample1_thresholded.tif,203.223,0.867,1.289,0.776,0.935
150,sample1_thresholded.tif,196.040,0.825,1.525,0.656,0.938
151,sample1_thresholded.tif,218.855,0.873,1.188,0.842,0.931
152,sample1_thresholded.tif,62.530,0.826,1.133,0.883,0.914
153,sample1_thresholded.tif,200.265,0.859,1.312,0.762,0.934
154,sample1_thresholded.tif,219.700,0.778,1.566,0.638,0.926
155,sample1_thresholded.tif,221.813,0.920,1.065,0.939,0.949
156,sample1_thresholded.tif,248.430,0.712,1.649,0.606,0.890
157,sample1_thresholded.tif,210.828,0.798,1.469,0.681,0.930
158,sample1_thresholded.tif,217.588,0.915,1.153,0.867,0.948
159,sample1_thresholded.tif,207.448,0.835,1.286,0.778,0.928
160,sample1_thresholded.tif,208.715,0.838,1.394,0.718,0.922
161,sample1_thresholded.tif,177.450,0.884,1.373,0.728,0.935
162,sample1_thresholded.tif,230.263,0.814,1.617,0.619,0.932
163,sample1_thresholded.tif,342.648,0.853,1.321,0.757,0.947
164,sample1_thresholded.tif,198.998,0.866,1.379,0.725,0.938
165,sample1_thresholded.tif,191.393,0.833,1.554,0.643,0.931
166,sample1_thresholded.tif,348.985,0.750,1.181,0.847,0.931
167,sample1_thresholded.tif,226.460,0.868,1.200,0.833,0.943
